Name,Type,Data Type,Address
s_pusher_back,Input,Bool,Input 0
s_pusher_forward,Input,Bool,Input 1
s_conveyor1,Input,Bool,Input 2
s_conveyor2,Input,Bool,Input 3
sw_conveyor1,Input,Bool,Input 4
sw_conveyor2,Input,Bool,Input 5
sw_endLine,Input,Bool,Input 6
pusher_back,Output,Bool,Coil 0
machine1_lamp,Output,Bool,Coil 1
machine2_lamp,Output,Bool,Coil 2
conveyor2_motor,Output,Bool,Coil 3
machine1_tool,Output,Bool,Coil 4
machine2_tool,Output,Bool,Coil 5
pusher_forward,Output,Bool,Coil 6
conveyor1_motor,Output,Bool,Coil 7
start_module,Output,Bool,Coil 8
